candidate_id,rank,score,reasoning
CAND_0037566,1,0.7482,"7yr Machine Learning Engineer; currently Machine Learning Engineer at LinkedIn. Verified skills: Pinecone, Time Series, LlamaIndex, NLP, LoRA. Moderate semantic alignment with JD. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Strong GitHub activity (73.4/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Top-10 candidate — strong overall fit."
CAND_0052682,12,0.6031,"7yr Machine Learning Engineer; currently NLP Engineer at Aganitha. Verified skills: Statistical Modeling, QLoRA, Semantic Search, FAISS, PyTorch. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Strong GitHub activity (72.4/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0037000,13,0.6006,"3yr Machine Learning Engineer; currently Search Engineer at Unacademy. Verified skills: Embeddings, LangChain, TTS, Semantic Search, TensorFlow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (66.8/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0061257,14,0.6006,"8yr Machine Learning Engineer; currently Staff Machine Learning Engineer at LinkedIn. Verified skills: PEFT, Haystack, Time Series, Machine Learning, Information Retrieval Systems. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (45.3/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0080766,15,0.5991,"9yr Machine Learning Engineer; currently Staff Machine Learning Engineer at Salesforce. Verified skills: Search Backend, LoRA, Vue.js, Tally, Search & Discovery. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Immediately available. Moderate GitHub activity (32.9/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0020708,16,0.5959,"4yr Machine Learning Engineer; currently Search Engineer at PolicyBazaar. Verified skills: Tally, NLP, Data Science, Statistical Modeling, scikit-learn. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Strong GitHub activity (84.3/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0040887,17,0.5949,"5yr AI Engineer; currently Machine Learning Engineer at Netflix. Verified skills: Reinforcement Learning, Computer Vision, SEO, FAISS, MLflow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (34.2/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0065195,18,0.5944,"5yr Applied ML Engineer; currently Search Engineer at CRED. Verified skills: LLMs, BentoML, QLoRA, scikit-learn, Diffusion Models. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. Strong GitHub activity (87.3/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0011687,19,0.5927,"8yr Machine Learning Engineer; currently Senior NLP Engineer at Niramai. Verified skills: TensorFlow, OpenSearch, FAISS, PEFT, Feature Engineering. Weak semantic match; included for other signals. Notice: 15d — within buyout range. Strong GitHub activity (76.3/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0041610,20,0.5908,"7yr Machine Learning Engineer; currently Recommendation Systems Engineer at Zoho. Verified skills: OpenCV, LoRA, Statistical Modeling, Data Science, Elasticsearch. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (52.1/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0081846,21,0.5852,"7yr Machine Learning Engineer; currently Lead AI Engineer at Razorpay. Verified skills: Data Science, Information Retrieval, LlamaIndex, pgvector, Forecasting. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (33.7/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0077337,22,0.5850,"7yr Machine Learning Engineer; currently Staff Machine Learning Engineer at Paytm. Verified skills: GANs, Semantic Search, QLoRA, pgvector, Pinecone. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 60d — acceptable but longer than preferred. Moderate GitHub activity (68.0/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0002025,23,0.5839,"6yr AI Engineer; currently Senior AI Engineer at Apple. Verified skills: Diffusion Models, FAISS, TensorFlow, scikit-learn, OpenSearch. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Strong GitHub activity (96.9/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0006418,24,0.5814,"6yr Machine Learning Engineer; currently Machine Learning Engineer at Verloop.io. Verified skills: Kubernetes, gRPC, Semantic Search, Embeddings, TensorFlow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 60d — acceptable but longer than preferred. Moderate GitHub activity (59.7/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0042506,25,0.5807,"4yr Machine Learning Engineer; currently Search Engineer at Verloop.io. Verified skills: PEFT, TTS, scikit-learn, OpenCV, Semantic Search. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (64.0/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking. Strong candidate overall."
CAND_0009024,26,0.5804,"5yr Applied ML Engineer; currently Search Engineer at Google. Verified skills: YOLO, Qdrant, dbt, CSS, PEFT. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (32.7/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0058688,27,0.5790,"7yr Applied ML Engineer; currently AI Engineer at Vedantu. Verified skills: OpenCV, CNN, scikit-learn, Object Detection, LlamaIndex. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (39.1/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0051004,28,0.5763,"5yr Applied ML Engineer; currently Senior Data Scientist at CRED. Verified skills: MLflow, Embeddings, Semantic Search, PyTorch, gRPC. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (30.8/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0053695,29,0.5762,"6yr Machine Learning Engineer; currently Recommendation Systems Engineer at Meesho. Verified skills: MLOps, Apache Flink, GCP, Pinecone, CNN. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (67.6/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0032515,30,0.5761,"5yr Machine Learning Engineer; currently Machine Learning Engineer at PharmEasy. Verified skills: MLflow, Milvus, Vector Search, QLoRA, Fine-tuning LLMs. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. Moderate GitHub activity (67.4/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0083879,31,0.5701,"7yr Machine Learning Engineer; currently Machine Learning Engineer at Ola. Verified skills: MLOps, Fine-tuning LLMs, Milvus, Image Classification, Data Science. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0046064,32,0.5683,"9yr Machine Learning Engineer; currently Senior NLP Engineer at Salesforce. Verified skills: Python, Image Classification, OpenCV, Pinecone, Haystack. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (67.3/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0046525,33,0.5655,"6yr Machine Learning Engineer; currently Senior Machine Learning Engineer at Genpact AI. Verified skills: Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex. Weak semantic match; included for other signals. Notice: 60d — acceptable but longer than preferred. Moderate GitHub activity (36.7/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0036184,34,0.5615,"6yr AI Engineer; currently Recommendation Systems Engineer at CRED. Verified skills: Image Classification, QLoRA, FAISS, GANs, MLOps. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (43.2/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0037944,35,0.5605,"5yr Applied ML Engineer; currently Senior Data Scientist at Vedantu. Verified skills: Next.js, Feature Engineering, Vector Search, Machine Learning, ASR. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Strong GitHub activity (83.0/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0079387,36,0.5600,"7yr AI Engineer; currently AI Engineer at Microsoft. Verified skills: scikit-learn, Recommendation Systems, Python, Time Series, Sentence Transformers. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (64.1/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0086022,37,0.5596,"5yr Applied ML Engineer; currently Senior Applied Scientist at Sarvam AI. Verified skills: Vector Search, MLflow, Recommendation Systems, Databricks, Deep Learning. Weak semantic match; included for other signals. Immediately available. Strong GitHub activity (75.2/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0045250,38,0.5585,"7yr Applied ML Engineer; currently Applied ML Engineer at Rephrase.ai. Verified skills: Sentence Transformers, Milvus, LoRA, Embeddings, NLP. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0078492,39,0.5582,"5yr Machine Learning Engineer; currently Recommendation Systems Engineer at Verloop.io. Verified skills: Machine Learning, Haystack, FAISS, Kubeflow, Recommendation Systems. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (35.4/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0094759,40,0.5563,"9yr Machine Learning Engineer; currently Lead AI Engineer at Meta. Verified skills: Prompt Engineering, scikit-learn, Hugging Face Transformers, Learning to Rank, Semantic Search. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Strong GitHub activity (76.2/100) — external proof of work. High trust (100%) — skills well-supported by career history."
CAND_0037980,41,0.5560,"9yr Applied ML Engineer; currently Senior Applied Scientist at Niramai. Verified skills: LoRA, Search Infrastructure, PyTorch, NLP, Indexing Algorithms. Weak semantic match; included for other signals. Immediately available. Moderate GitHub activity (30.8/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0093912,42,0.5558,"5yr Machine Learning Engineer; currently Senior Data Scientist at Razorpay. Verified skills: Feature Engineering, SAP, CNN, Milvus, Embeddings. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Strong GitHub activity (81.5/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0030953,43,0.5553,"8yr Machine Learning Engineer; currently Search Engineer at Nykaa. Verified skills: TTS, MLOps, Learning to Rank, Databricks, Time Series. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0054394,44,0.5553,"4yr Machine Learning Engineer; currently Recommendation Systems Engineer at PharmEasy. Verified skills: Prompt Engineering, MLflow, Time Series, Fine-tuning LLMs, Node.js. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (31.5/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0081852,45,0.5531,"6yr AI Engineer; currently Senior Data Scientist at Mad Street Den. Verified skills: Salesforce CRM, Semantic Search, TTS, Milvus, BentoML. Weak semantic match; included for other signals. Notice: 45d — acceptable but longer than preferred. Strong GitHub activity (87.9/100) — external proof of work. High trust (100%) — skills well-supported by career history."
CAND_0050454,46,0.5528,"7yr Machine Learning Engineer; currently AI Engineer at Rephrase.ai. Verified skills: PyTorch, LangChain, QLoRA, Fine-tuning LLMs, FAISS. Weak semantic match; included for other signals. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0003977,47,0.5497,"5yr Machine Learning Engineer; currently Recommendation Systems Engineer at Google. Verified skills: Learning to Rank, NLP, Node.js, Embeddings, Semantic Search. Weak semantic match; included for other signals. Notice: 45d — acceptable but longer than preferred. Moderate GitHub activity (58.5/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0040117,48,0.5494,"6yr Applied ML Engineer; currently Recommendation Systems Engineer at PhonePe. Verified skills: OpenCV, LlamaIndex, Embeddings, RAG, FAISS. Weak semantic match; included for other signals. Notice: 15d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0072660,49,0.5494,"7yr Machine Learning Engineer; currently Machine Learning Engineer at Unacademy. Verified skills: Feature Engineering, LoRA, pgvector, PyTorch, Kubeflow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0093547,50,0.5484,"3yr Machine Learning Engineer; currently Senior Machine Learning Engineer at PhonePe. Verified skills: LLMs, RAG, Python, QLoRA, Kubeflow. Weak semantic match; included for other signals. Notice: 60d — acceptable but longer than preferred. Moderate GitHub activity (59.5/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0042029,51,0.5480,"6yr Machine Learning Engineer; currently Senior Data Scientist at Flipkart. Verified skills: YOLO, PyTorch, NLP, RAG, Haystack. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. Strong GitHub activity (78.7/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0018549,52,0.5470,"7yr Machine Learning Engineer; currently Recommendation Systems Engineer at Uber. Verified skills: Computer Vision, Weaviate, Kubernetes, Elasticsearch, BigQuery. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 60d — acceptable but longer than preferred. Moderate GitHub activity (56.3/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0030031,53,0.5469,"6yr Machine Learning Engineer; currently AI Engineer at Microsoft. Verified skills: Information Retrieval, PyTorch, Object Detection, Python, NLP. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (32.4/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0020350,54,0.5456,"6yr Applied ML Engineer; currently AI Engineer at Zoho. Verified skills: Content Writing, MLOps, NLP, GANs, LoRA. Weak semantic match; included for other signals. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0095528,55,0.5454,"5yr Machine Learning Engineer; currently Senior Data Scientist at Netflix. Verified skills: Feature Engineering, OpenSearch, PyTorch, Semantic Search, Vector Search. Weak semantic match; included for other signals. Notice: 45d — acceptable but longer than preferred. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0027691,56,0.5401,"6yr Applied ML Engineer; currently NLP Engineer at Haptik. Verified skills: SAP, LoRA, PEFT, Recommendation Systems, Statistical Modeling. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. Moderate GitHub activity (58.5/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0068811,57,0.5383,"8yr Applied ML Engineer; currently Applied ML Engineer at Freshworks. Verified skills: Data Science, Vector Search, Speech Recognition, TTS, Kubeflow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0087364,58,0.5344,"5yr Applied ML Engineer; currently Recommendation Systems Engineer at Glance. Verified skills: Deep Learning, TypeScript, Qdrant, Milvus, LlamaIndex. Weak semantic match; included for other signals. Notice: 30d — within buyout range. High trust (100%) — skills well-supported by career history."
CAND_0060054,59,0.5329,"6yr AI Engineer; currently AI Engineer at Mad Street Den. Verified skills: Diffusion Models, TensorFlow, Weaviate, FAISS, Time Series. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 15d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0099806,60,0.5303,"5yr Machine Learning Engineer; currently AI Engineer at Mad Street Den. Verified skills: LoRA, OpenCV, Statistical Modeling, RAG, Agile. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Strong GitHub activity (86.9/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0071974,61,0.5273,"8yr Machine Learning Engineer; currently Senior AI Engineer at Netflix. Verified skills: LoRA, Learning to Rank, Weaviate, PEFT, BM25. Weak semantic match; included for other signals. Notice: 45d — acceptable but longer than preferred. Strong GitHub activity (82.8/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0078002,62,0.5269,"6yr Applied ML Engineer; currently Machine Learning Engineer at Meta. Verified skills: Statistical Modeling, pgvector, Flask, FastAPI, TensorFlow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 60d — acceptable but longer than preferred. Moderate GitHub activity (50.6/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0039521,63,0.5256,"3yr Machine Learning Engineer; currently Search Engineer at Salesforce. Verified skills: Accounting, Time Series, Hugging Face Transformers, BentoML, Forecasting. Weak semantic match; included for other signals. Notice: 30d — within buyout range. No GitHub linked — reduced external validation for closed-source work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0036437,64,0.5233,"5yr Machine Learning Engineer; currently Search Engineer at Rephrase.ai. Verified skills: Go, Kubeflow, OpenSearch, Elasticsearch, Feature Engineering. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (35.2/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0033861,65,0.5227,"8yr Machine Learning Engineer; currently Senior NLP Engineer at Mad Street Den. Verified skills: Reinforcement Learning, Weaviate, LoRA, LLMs, Machine Learning. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (32.6/100). High trust (100%) — skills well-supported by career history."
CAND_0062247,66,0.5225,"7yr AI Engineer; currently AI Engineer at Google. Verified skills: Image Classification, OpenCV, Reinforcement Learning, ASR, Pinecone. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (52.7/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0078042,67,0.5214,"5yr Applied ML Engineer; currently Applied ML Engineer at PolicyBazaar. Verified skills: OpenSearch, Diffusion Models, PyTorch, Sentence Transformers, Figma. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Strong GitHub activity (83.6/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0096172,68,0.5210,"5yr Machine Learning Engineer; currently NLP Engineer at Krutrim. Verified skills: OpenSearch, Haystack, Forecasting, Elasticsearch, Semantic Search. Weak semantic match; included for other signals. Notice: 45d — acceptable but longer than preferred. Moderate GitHub activity (65.0/100). High trust (100%) — skills well-supported by career history."
CAND_0098846,69,0.5194,"8yr Machine Learning Engineer; currently AI Engineer at upGrad. Verified skills: YOLO, Kubeflow, Hugging Face Transformers, Hadoop, PEFT. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. Strong GitHub activity (86.2/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0026942,70,0.5165,"6yr Machine Learning Engineer; currently Junior ML Engineer at Verloop.io. Verified skills: Learning to Rank, LangChain, CNN, Microservices, TensorFlow. Weak semantic match; included for other signals. Notice: 30d — within buyout range. Moderate GitHub activity (67.1/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0043228,71,0.5156,"7yr Applied ML Engineer; currently Applied ML Engineer at Zoho. Verified skills: BigQuery, NLP, ASR, Hugging Face Transformers, FastAPI. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 30d — within buyout range. Moderate GitHub activity (47.6/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0014440,72,0.5145,"6yr Machine Learning Engineer; currently Recommendation Systems Engineer at CRED. Verified skills: Elasticsearch, Diffusion Models, Milvus, Machine Learning, Feature Engineering. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 60d — acceptable but longer than preferred. Strong GitHub activity (89.5/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0041669,73,0.5135,"8yr Machine Learning Engineer; currently Recommendation Systems Engineer at CRED. Verified skills: FAISS, Milvus, PEFT, Diffusion Models, MLflow. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 60d — acceptable but longer than preferred. Strong GitHub activity (70.9/100) — external proof of work. High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
CAND_0002120,74,0.5124,"6yr Machine Learning Engineer; currently ML Engineer at HCL. Verified skills: RAG, ETL, Hugging Face Transformers, Information Retrieval, Six Sigma. Weak semantic match; included for other signals. Tier-1 Indian product company experience — strong culture fit signal. Notice: 45d — acceptable but longer than preferred. Moderate GitHub activity (50.4/100). High trust (100%) — skills well-supported by career history. High platform engagement — responsive and actively seeking."
